CompanyName,URL,city,STATE,abbrev,companyCategory,descriptionShort
Coddes,http://www.coddes.com,Rockville,Maryland,MD,Scientific Research,"CODDES, LLC was founded in 2011 with a focus on designing new chemical and biological compounds as well as developing novel computational tools; the transformation of lead molecules into drugs transferable from the pharmaceutical phase to commercial manufacturing is one of the main objectives. "
Code for America,http://codeforamerica.org,San Francisco,California,CA,Governance,"Code for America applies technology to civic issues and envisions a government that works by the people, for the people, in the 21st century."
Code-N,http://www.code-n.com,Menlo Park,California,CA,Data/Technology,"Code-N is a next-generation cloud computing company that leverages an advanced semantic web technology to deliver software solutions to “Big Data” problems that cannot be solved with today’s keyword-based Internet software and search technologies. 
"
College Abacus,https://collegeabacus.com,Washington,District of Columbia,DC,Education,"College Abacus provides a free and secure service to its users, enabling them to compare their projected financial aid packages across schools and to identify schools within their budgets."
College Board,http://www.collegeboard.org,New York,New York,NY,Education,The College Board seeks to ensure that every student in the United States has access to a high-quality education and is prepared to succeed in college. 
Compendia Bioscience Life Technologies,http://www.lifetechnologies.com/us/en/home/life-science/cancer-research/cancer-genomics/compendia-bioscience-life-technologies.html,Carlsbad,California,CA,Scientific Research,Compendia Bioscience provides products and solutions to help advance breakthrough discoveries at the lab bench. 
Compliance and Risks,http://www.complianceandrisks.com,Oregon House,California,CA,Business & Legal Services,Compliance and Risks guides businesses through the ever-changing and complex maze of compliance ensuring that they know and comply with current regulations.
ConnectEDU,http://www.connectedu.com,Boston,Massachusetts,MA,Education,ConnectEDU’s technology solutions empower students by informing their academic and career decisions. 
Connotate,http://www.connotate.com,New Brunswick,New Jersey,NJ,Data/Technology,"Connotate provides Web data extraction and monitoring to help businesses make smarter decisions, reduce costs and grow revenue."
Consilio,http://www.consilio.com,Washington,District of Columbia,DC,Research & Consulting,"Consilio combines  project management with industry-leading eDiscovery technology to solve problems on complex, global projects."
CoolClimate,http://coolclimate.berkeley.edu,Berkely,California,CA,Environment & Weather,"CoolClimate provides a complete, highest-resolution, peer-reviewed model of carbon footprints associated with transportation, foods, goods and services for households, businesses, organizations and cities."
Copyright Clearance Center,http://www.copyright.com,Danvers,Massachusetts,MA,Business & Legal Services,"Copyright Clearance Center (CCC) is a global rights broker for  books, journals, blogs, movies and more."
Core Logic Inc,http://www.corelogic.com/about-us/our-company.aspx,Irvine,California,CA,Business & Legal Services,"CoreLogic supplies high-value information, analytics and outsourcing services that thousands of companies use to make timely and insightful decisions. "
CoreOne,http://www.coreonetechnologies.com/coreone/web/me.get?web.home,New York,New York,NY,Finance & Investment,"CoreOne is a global leading provider of financial data creation, management, distribution services and solutions"
Corporation for Enterprise Development,http://cfed.org,Washington,District of Columbia,DC,Governance,"CFED is a multi-faceted organization working at the local, state and federal levels to create economic opportunity that alleviates poverty."
CostQuest,http://www.costquest.com,Cincinnati,Ohio,OH,Business & Legal Services,"CostQuest provides global knowledge of costs, business functions, network modeling, telecommunications, economics, regulation, and applying the right data to make accurate business decisions."
Credit Karma,https://www.creditkarma.com,San Francisco,California,CA,Finance & Investment,"Credit Karma gives consumers access to all of their financial information — bank accounts, credit cards, bills, mortgages, loans, and, of course, your credit scores — all in one location, all under one account, all for free."
Crime Reports ,http://www.publicengines.com/products/crimereports.php,Draper,Utah,UT,Governance,CrimeReports auto-publishes crime data so that citizens can access and browse crime information on a map from any computer or mobile device and  submit anonymous tips through the platform.
Dabo Health,https://www.dabohealth.com/welcome,Menlo Park,California,CA,Healthcare,"Dabo Health makes it possible to share information, best practices, and learnings within your hospital system (and across hospital systems nationwide) through intuitive social collaboration tools"
DataLogix,http://www.datalogix.com,Westminster,Colorado,CO,Data/Technology,DataLogix manages data including almost every U.S. household and more than $1 trillion in consumer transactions. 
Datamyne,http://www.datamyne.com,Miami,Florida,FL,Business & Legal Services,Datamyne provides global import/export data to help take business across borders
De Silva & Phillips,http://www.desilvaphillips.com,New York,New York,NY,Finance & Investment,"By recognizing the particular challenges and opportunities for each seller or buyer, De Silva & Phillips develops a process that produces the best price, the right asset, the most competitive corporate finance solution."
Deloitte,http://www.deloitte.com/view/en_US/us/index.htm,New York,New York,NY,Research & Consulting ,"Deloitte works in four key business areas — audit, financial advisory, tax and consulting — and combines the talents of those groups to address clients’ needs. "
DocGraph Journal,http://docgraph.org,,,,Healthcare,"DocGraph is a dataset comprised of 50 million connections that shows how healthcare providers team to provide care, using real names and real relationships."
Dory 2.0 ,http://dory.trialx.com/ask/,New York,New York,NY,Healthcare,"Dory is a clinical trial search system with several innovative features, including an algorithm that makes it possible to find the most appropriate matching trials as quickly as possible. "
Dow Jones & Co.,http://www.dowjones.com,New York,New York,NY,Finance & Investment,Dow Jones & Company explains the world and the world of business with authoritative journalism and smart technology.
Dun & Bradstreet,http://www.dnb.com,Short Hills,New Jersey,NJ,Finance & Investment,"D&B (NYSE:DNB) is a leading source of commercial information and insight on businesses, with a global commercial database that contains more than 225 million business records."
Earthquake Alert! ,https://play.google.com/store/apps/details?id=com.joshclemm.android.quake&hl=en,Reston,Virginia,VA,Geospatial/Mapping,"Earthquake Alert! shows the latest Magnitude 3.0 and higher earthquakes from all over the U.S., including California, Nevada, Alaska, Hawaii, and Puerto Rico areas, using earthquake data from the USGS website: http://earthquake.usgs.gov/earthquakes"
Eat Shop Sleep,https://itunes.apple.com/us/app/eat-shop-sleep/id465262611,,,,Lifestyle & Consumer,"Eat Sleep Shop helps consumers search for places to eat, shop & sleep and then read customer reviews as well as health, safety & labor highlights."
Elder Research,http://datamininglab.com,Charlottesville,Virginia,VA,Data/Technology,"Elder Research Inc. (ERI) is a consulting company working in data mining, predictive analytics, and text mining; it has worked with government agencies and Fortune Global 500® companies to solve real-world problems by amplifying the productivity of their analysts."
Eldersnap,http://eldersnap.com,,,,Lifestyle & Consumer,Eldersnap helps connect seniors in need with trusted helpers.
ElectNext,https://electnext.com,New York,New York,NY,Governance,"ElectNext helps anyone, anywhere get informed and engaged on their most important political issues. "
Embark,http://letsembark.com,Cupertino,California,CA,Transportation,"Embark makes mass transit simple, providing an accurate, reliable, and interactive transit experience that helps you get where you want to go."
EMC,http://www.emc.com/index.htm,Hopkinton,Massachusetts,MA,Data/Technology,"EMC provides technologies and tools to help businesses design, build, and manage flexible, scalable, and secure information infrastructures, to store, protect, and manage information so that it can be made accessible, searchable, shareable, and, ultimately, actionable. "
Enervee Corporation,http://enervee.com,Santa Monica,California,CA,Energy,"Enervee shows energy efficient products, provides real-time analysis of the best prices and shows how much businesses will spend operating it."
Environmental Data Resources,http://www.edrnet.com,Milford,Connecticut,CT,Environment & Weather,"Environmental Data provides customers with the solutions they need to assess, understand and manage environmental risk."
Epsilon,http://www.epsilon.com,Irving,Texas,TX,Data/Technology,"Epsilon powers business results for the world's leading marketers, using customer intelligence to ignite connections between brands and customers with solutions that integrate rich data, engaging creativity and robust technologies."
Equifax,http://www.equifax.com/home/en_us,Atlanta,Georgia,GA,Finance & Investment,"Equifax leverages one of the largest sources of consumer and commercial data, along with advanced analytics and proprietary technology, to create customized insights for business."
Ernst & Young LLP,http://www.ey.com,New York,New York,NY,Finance & Investment,"Ernst & Young is a leader in assurance, tax, transactions and advisory services. "
EverFi,http://www.everfi.com,Washington,District of Columbia,DC,Education,"EverFi is a leading education technology company focused on teaching, assessing, badging, and certifying students in critical skills."
Everyday Health,http://www.everydayhealth.com,New York,New York,NY,Lifestyle & Consumer,"Everyday Health provides expert guidance and daily tools that people need to make the best health choices, actively manage health conditions and live healthier lives every day."
Evidera,http://www.evidera.com,Bethesda,Maryland,MD,Healthcare,"Evidera provides health economics, outcomes research, market access, data analytics and epidemiology services. "
Expedia,www.expedia.com,Bellevue,Washington,WA,Transportation,Expedia Inc. is the American-based parent company to several global online travel brands.
Experian,http://www.experian.com,Costa Mesa,California,CA,Finance & Investment,"Experian provides information, analytical tools and marketing services to organizations and consumers to help manage the risk and reward of commercial and financial decisions. "
Explorys,https://www.explorys.com,Cleveland,Ohio,OH,Healthcare,"Explorys provides a secure software platform that allows healthcare systems to aggregate, analyze, manage, and research their data to provide better patient care in a rapidly changing healthcare market. "
EZGrantFiling,http://www.ezgrantfiling.com,Vienna,Virginia,VA,Finance & Investment,"EZGrantFiling provides a secure online environment  to store and access vital grant documents and translate data into federal grant administrative reports, effortlessly and instantly."
Factiva,http://www.dowjones.com/factiva/,Princeton,New Jersey,NJ,Finance & Investment,"Factiva, Inc., from Dow Jones, provides essential business news and information together with content delivery tools and services."
Factset,http://www.factset.com,Norwalk,Connecticut,CT,Finance & Investment,"FactSet consolidates tools to monitor global markets, public and private companies, and equity and fixed income portfolios in a single, intuitive interface."
Farmers,http://www.farmers.com,Los Angeles,California,CA,Insurance,"The companies comprising the Farmers Insurance Group of Companies make up one of the country's largest insurers of vehicles, homes and small businesses and provide a wide range of other insurance and financial services products."
Fidelity Investments,https://www.fidelity.com,Boston,Massachusetts,MA,Finance & Investment,"Fidelity Investments provides a wide range of services, including investment management, retirement planning, brokerage, and human resources and benefits outsourcing services."
Finovate,http://finovate.com,Seattle,Washington,WA,Finance & Investment,Finovate is the first demo-focused conference series in financial technology.
First Fuel Software,http://firstfuel.com,Lexington,Massachusetts,MA,Energy,FirstFuel's analytics platform remotely enables deep building energy savings
FlightAware,http://www.flightaware.com/,Houston,Texas,TX,Transportation,"Founded in 2005, FlightAware was the first company to offer free flight tracking services for both private and commercial air traffic."
FlightStats,http://www.flightstats.com/,Portland,Oregon,OR,Transportation,FlightStats describes itself as the leading day-of-travel information source.
FlightView,http://www.flightview.com/,Newton,Massachusetts,MA,Transportation,"FlightView provides ""flight information you can act on."""
FlyOnTime ,http://flyontime.us,,,,Transportation,"FlyOnTime makes it possible to find the most on-time flight between two airports or check how late your flight is on average, in good weather and bad, before you leave."
Food & Tech Connect,http://www.foodtechconnect.com,New York,New York,NY,Food & Agriculture,"Food+Tech Connect is a media and research company building a network for innovators transforming the business of food, through news, analysis and research, and events. "
Fooducate,http://www.fooducate.com,San Francisco,California,CA,Food & Agriculture,"Fooducate is a personal grocery advisor, helping people purchase the best food for their families. Using a mobile phone, consumers can look up a product at the supermarket, learn what's really inside, and make a better, more informed buying decision."
Forrester Research,http://www.forrester.com/home/,Cambridge,Massachusetts,MA,Research & Consulting,"Forrester Research is a global research and advisory firm serving professionals in 13 key roles across three distinct client segments, providing proprietary research, consumer and business data, custom consulting, events and online communities, and peer-to-peer executive programs."
Foursquare,https://foursquare.com,New York,New York,NY,Lifestyle & Consumer,"With FourSquare, consumers check in at local businesses to tell their friends where they like to go, and can leave brief tips and photos at their favorite places; businesses can listen to what customers are saying and use FourSquare's tools to join the conversation."
Fujitsu,http://www.fujitsu.com/us/,Sunnyvale,California,CA,Data/Technology,Fujitsu works to shape the future of society and business by using the power of ICT to contribute to their clients' success.
Funding Circle,https://www.fundingcircle.com/us/,San Francisco,California,CA,Finance & Investment,Funding Circle is a small business lending solution that funds business owners with money from investors.
Future Advisor,https://www.futureadvisor.com,San Francisco,California,CA,Finance & Investment,FutureAdvisor is an online investment advisor that automatically manages investments and works with existing investments 401(k) plans.
Future Route,http://www.validis.com,,,,Finance & Investment,"Validis is an audit preparation and risk management tool, developed by Future Route Ltd."
"Fuzion Apps, Inc.",http://www.fuzionapps.com/aequitas/4567448917,,,,Finance & Investment,"Winner of Challenge.gov's Equal Pay Challenge, Aequitas, developed by Fuzion Apps, is an iPhone solution for job seekers from all demographics to research, find, and compare wages by area to make well informed career decisions."
Gallup,http://www.gallup.com/home.aspx,Washington,District of Columbia,DC,Research & Consulting,"Gallup delivers forward-thinking research, analytics, and advice to help leaders solve their most pressing problems. "
Galorath,http://www.galorath.com,El Segundo,California,CA,Business & Legal Services,"Galorath has invested over two decades of research and development helping organizations better plan and control project costs, quality, duration and risk, leveraging sophisticated modeling technology and project-applicable knowledge bases."
Garmin,http://www.garmin.com/en-US,Olathe,,KS,Geospatial/Mapping,"Garmin's products provide geospatial information for automotive, aviation, marine, outdoor, and sports uses."
"Gartner, Inc",http://www.gartner.com/technology/home.jsp,Stamford,Connecticut,CT,Research & Consulting,Gartner describes itself as a leading information technology research and advisory company. 
GenoSpace,https://www.genospace.com,Cambridge,Massachusetts,MA,Healthcare,"GenoSpace, which describes itself as the ""digital architects of genomic medicine,"" has developed robust software systems for securely storing vast amounts of genomic and health data and providing it in formats specific to its diverse user communities."
GetRaised,https://getraised.com,New York,New York,NY,Finance & Investment,GetRaised uses government and other data to tell users whether they are being paid fairly and help them construct a raise request that maximizes the chances of getting a raise.  
GitHub,https://github.com,San Francisco,California,CA,Data/Technology,GitHub is at code host with over 9.8 million repositories and tools are open to the community for public projects and secure for private projects.
Glassy Media,http://www.glassymedia.com/,Cambridge,Massachusetts,MA,,Glassy Media is a digital production company hatched out of the MIT Media Lab that makes digital tools that help people connect with information and facilitate transparency.
Global Integrity,https://www.globalintegrity.org,Washington,District of Columbia,DC,Governance,"Global Integrity champions transparent and accountable government around the world by producing innovative research and technologies that inform, connect, and empower civic, private, and public reformers seeking more open societies."
Gnip,http://gnip.com,Boulder,Colorado,CO,Data/Technology,"Gnip is the world's largest provider of social data, serving customers in a range of industries from social media monitoring and business intelligence to finance and government."
GoodGuide,http://www.goodguide.com,San Francisco,California,CA,Environment & Weather,"GoodGuide provides the world's largest and most reliable source of information on health, environmental, and social impacts of consumer products."
Google,https://www.google.com/intl/en/about/,Mountain View,California,CA,Data/Technology,Google's mission is to organize the world's information and make it universally accessible and useful.
Graebel Van Lines,http://www.graebelmoving.com,Aurora,Colorado,CO,Transportation,"Graebel is one the world's largest independently owned and operated, fully integrated corporate relocation companies."
Granicus,http://www.granicus.com,San Francisco,California,CA,Governance,"Granicus provides award-winning cloud-based technologies for government transparency, legislative efficiency, and citizen engagement."
Green Outlet ,https://itunes.apple.com/us/app/green-outlet/id329692231,Tampa,Florida,FL,Energy,GreenOutlet helps save money by reducing electricity use.
greenMeter,http://hunter.pairsite.com/greenmeter/,Lancaster,New York,NY,Energy,GreenMeter synthesizes information consumers can use to make informed decisions on facility energy use.
GreenSpaceMap,https://play.google.com/store/apps/details?id=com.newroadsolutions&hl=en,Gaithersburg,Maryland,MD,Environment & Weather,"GreenSpaceMap helps address environmental concerns that impact millions of U.S. citizens, including homeowners and prospective homeowners, real estate investors and developers and state and local municipalities."
GridCo Systems,http://www.gridcosystems.com,Woburn,Massachusetts,MA,Energy,"Leveraging experience in  power electronics, distributed networking and advanced controls, the Gridco Systems solution delivers an end-to-end hardware and software platform to solve utilities’ current and emerging distribution challenges."
Guidestar,http://www.guidestar.org,Washington,District of Columbia,DC,Finance & Investment,"Guidestar's goal is to revolutionize philanthropy by providing information that advances transparency, enables users to make better decisions, and encourages charitable giving."
H3 Biomedicine,http://www.h3biomedicine.com,Cambridge,Massachusetts,MA,Scientific Research,H3 Biomedicine Inc.is a drug discovery enterprise that is integrating insights from cancer genomics with innovative capabilities in synthetic chemistry and tumor biology to generate novel small-molecule drugs to treat cancer. 
Hatha Systems,http://hathasystems.com,Washington,District of Columbia,DC,Data/Technology,"Hatha Systems can demonstrate that an organization's software systems are meeting its business, mission, compliance, and security objectives. "
Healthline,http://www.healthline.com,San Francisco,California,CA,Healthcare,"Healthline offers readers and visitors to its site objective, trustworthy, and accurate health information, guided by the principles of responsible journalism and publishing."
Honest Buildings,https://www.honestbuildings.com,New York,New York,NY,Housing/Real Estate,The Honest Buildings Network matches real estate decision-makers to trusted companies that have an established track record of relevant projects.
Humedica,http://www.humedica.com,Boston,Massachusetts,MA,Healthcare,"Humedica empowers its partners and customers to make confident, value-based decisions about patient care in a rapidly changing health care market. "
Humetrix ,http://www.humetrix.com,San Diego,California,CA,Data/Technology,Humetrix' innovative Information Technology (IT) and its patent portfolio cover a range of innovative processes for Internet and private network access. 
iBlueButton,http://www.ibluebutton.com,San Diego,California,CA,Healthcare,"iBlueButton® is the mobile embodiment of Blue Button®, a Federal initiative adopted nationwide to give Americans easy access to their medical information online."
IBM,http://www.ibm.com/us/en/,Armonk,New York,NY,Data/Technology," IBM offers a wide range of technology and consulting services; a broad portfolio of middleware for collaboration, predictive analytics, software development and systems management; and the world's most advanced servers and supercomputers."
iGo Vampire Power Calculator,http://www.igo.com/page/vampirepower/,Gilbert,Arizona,AZ,Energy,"iGo produces Power Smart products that can prevent energy being drawn from electronic devices that are plugged in but not in use, and provides a calculator to assess the potential energy savings."
IIRC,http://www.theiirc.org/the-iirc/,,,,Finance & Investment,"The International Integrated Reporting Council (IIRC) is a global coalition of regulators, investors, companies, standard setters, the accounting profession and NGOs focused on corporate reporting."
iMedicare,http://imedicare.com,New York,New York,NY,Healthcare,"iMedicare helps doctors navigate the complexity of Medicare for their patients, show them preferred networks they are (and are not) in, and which plan reimburses their pharmacy best (and worst)."
Impaq International,http://www.impaqint.com,Columbia,Maryland,MD,Research & Consulting,"IMPAQ International applies state-of-the-art quantitative and qualitative research methods to conduct rigorous impact evaluations and research studies on the effectiveness of domestic and international workforce development, health, and education programs and policies."
Import.io,http://import.io,San Francisco,California,CA,Data/Technology,Import io’s mission is to structure the web and make web data available to everyone.
IMS Health,http://www.imshealth.com/portal/site/imshealth,Danbury,Connecticut,CT,Healthcare,"IMS Health is a leading information, services and technology company dedicated to making healthcare perform better. "
inBloom,https://www.inbloom.org,Atlanta,Georgia,GA,Education,"inBloom, Inc. is a nonprofit organization working to make personalized learning a reality for every U.S. student by improving the effectiveness, variety and affordability of education technology."
InCadence,http://incadence.com,Manassas,Virginia,VA,Data/Technology,InCadence is a professional services firm that provides comprehensive integration services for Salesforce.com and the Force.com cloud platform. .
InfoCommerce Group,http://infocommercegroup.com,Bala Cynwyd,Pennsylvania,PA,Research & Consulting,"The InfoCommerce Group helps clients identify, design and launch new products; improve existing products and develop market-aware business strategies."
Informatica,http://www.informatica.com,Redwood City,California,CA,Data/Technology,Informatica Corporation is the world's number one independent provider of data integration software. 
ING,http://ing.us,New York,New York,NY,Finance & Investment,"ING is a global financial institution offering banking, investments, life insurance and retirement services to meet the needs of a broad customer base."
InnoCentive,http://www.innocentive.com,Waltham,Massachusetts,MA,Scientific Research,"InnoCentive is a leader in crowdsourcing innovation problems to the world’s smartest people who compete to provide ideas and solutions to important business, social, policy, scientific, and technical challenges."
Innovest Systems,http://www.innovestsystems.com,New York,New York,NY,Finance & Investment,Innovest provides technology-driven solutions to trust and wealth management companies. 
Inovalon,http://www.inovalon.com/pages/default.aspx,Bowie,Maryland,MD,Healthcare,Inovalon is a healthcare technology company that combines advanced data analytics with highly targeted interventions to achieve meaningful impact in clinical outcomes and financial performance across the healthcare landscape. 
Inrix Traffic,http://www.inrixtraffic.com,Kirkland,Washington,WA,Transportation,"INRIX develops and operates the world's largest global traffic intelligence platform, delivering smart data and analytics to solve transportation issues worldwide."
iRecycle ,http://earth911.com/irecycle/,Scotsdale,Arizona,AZ,Environment & Weather,iRecycle provides access to more than 1.5 million ways to recycle plus the latest in green news and ideas to match individuals' lifestyle.
IW Financial,http://info.iwfinancial.com,Portland,Maine,ME,Finance & Investment,"IW Financial is a leading provider of environmental risk assessment, social responsibility, and corporate governance research for investors."
J.P. Morgan Chase,http://www.jpmorganchase.com/corporate/Home/home.htm,New York,New York,NY,Finance & Investment,"J.P. Morgan Chase is a leader in investment banking, financial services for consumers, small business and commercial banking, financial transaction processing, asset management and private equity."
Janus Capital Group,https://www.janus.com,Denver,Colorado,CO,Finance & Investment,"Janus Capital Group provides clients differentiated investment solutions across a range of asset classes, including growth, core and value equities, fixed income and mathematical investing."
JJ Keller,http://www.jjkeller.com/shop/Home,Neenah,Wisconsin,WI,Business & Legal Services,"J. J. Keller & Associates, Inc. is a privately-held company that helps businesses, large and small, deal with the complex and constantly evolving regulations that affect their operations every day."
Kabbage,https://www.kabbage.com/,Atlanta,Georgia,GA,,Kabbage is a financial and data technology company that pioneered the use of unique yet compelling data sources to change the way small businesses obtain capital.
Kaggle,http://www.kaggle.com,San Francisco,California,CA,Data/Technology,Kaggle is a community of data scientists who compete with each other to solve complex data science problems; the top competitors get invited to consult on interesting projects from some of the world’s biggest companies through Kaggle Connect.
Kaiser Permanante,https://healthy.kaiserpermanente.org/html/kaiser/index.shtml,Oakland,California,CA,Healthcare,"Kaiser's mission is to improve the health of its members and the communities it serves, by creating safe, healthy environments and providing care and coverage for all."
Kayak,http://www.kayak.com,Norwalk,Connecticut,CT,Transportation,"Kayak is a tech company focused on making online travel better, started by co-founders of Expedia, Travelocity and Orbitz to take a different approach"
KLD Research,http://www.msci.com/products/esg/#,New York,New York,NY,Finance & Investment,"KLD Research & Analytics, Inc. is an independent investment research firm providing authoritative sustainability research and indexes: Hundreds of clients worldwide use KLD products and services to integrate environmental, social and governance (ESG) criteria into their investment decisions. "
Knewton,http://www.knewton.com,New York,New York,NY,Education,"Knewton is a leading adaptive learning company, which partners with pioneering learning companies, publishers, content providers, and educational institutions to enable personalization at massive scale."
Knowledge Partners,http://www.knowledge-partners.com,Flanders,New Jersey,NJ,Research & Consulting,"Since its establishment fifteen years ago, Knowledge Partners has carried out research on behalf of multinational corporations and government departments and agencies around the world, doing projects that generally include research, strategic analysis and insights workshops."
KredStreet.com,http://KredStreet.com,New York,New York,NY,Finance & Investment,KredStreet has built a proprietary sentiment engine which 'listens' to stock trader chatter on social media. 
kWhOURS,http://www.kwhours.com,Boston,Massachusetts,MA,Housing/Real Estate,This company provides tablet-based software and cloud-based management tools to make building professionals more efficient and effective
Kyruus,http://kyruus.com,Boston,Massachusetts,MA,Healthcare,"Kyruus provides Patient Access & Referral Management solutions that enable hospital systems to precisely match patient demand to provider supply, engender patient retention and loyalty, and maximize staff productivity."
Legal Information Institute*,http://www.law.cornell.edu,Ithaca,New York,NY,Business & Legal Services,"The Legal Information Institute at Cornell Law School [LII] is a not-for-profit group that believes everyone should be able to read and understand the laws that govern them, without cost."
LegiStorm,http://www.legistorm.com/,Washington,District of Columbia,DC,,"LegiStorm launched in September 2006 to bring valuable information about the people of Congress to the public, becoming widely known by being the only online source for staff salaries, financial disclosures, trips, gifts and earmarks."
Lending Club,https://www.lendingclub.com,San Francisco,California,CA,Finance & Investment,"Lending Club is an online financial community that brings together creditworthy borrowers and savvy investors so that both can benefit financially - replacing the high cost and complexity of bank lending with a faster, smarter way to borrow and invest."
Level One Technologies,http://www.levelonetechnologies.com,Maryland Heights,Missouri,MO,Data/Technology,Level One Technologies develops powerful web based applications that help businesses become more efficient and profitable.
Leventis Labs,http://www.leventislabs.com,San Francisco,California,CA,Research & Consulting,Leventis Labs provides product development consulting services primarily for new ventures and early-stage companies. 
LexisNexis,http://www.lexisnexis.com/en-us/home.page,New York,New York,NY,Business & Legal Services,"LexisNexis is a leading provider of content-enabled workflow solutions designed specifically for professionals in the legal, risk management, corporate, government, law enforcement, accounting, and academic markets."
Lexmark Solutions,http://www.lexmark.com/en_US/solutions/,Lexington,Kentucky,KY,Data/Technology,Lexmark has a history of research and development focused on connecting unstructured print and digital information across an enterprise.
Liberty Mutual Insurance Cos.,http://www.libertymutual.com,Boston,Massachusetts,MA,Insurance,Liberty Mutual Insurance provides a broad range of insurance products and services.
LibertyBell Law Group,http://libertybelllaw.com,Los Angeles,California,CA,Business & Legal Services,"LibertyBell Law Group's federal and criminal lawyers, criminal law specialists and experts are a collaborative team of lawyers from across the country.. "
Lilly Open Innovation Drug Discovery,https://openinnovation.lilly.com/dd/,Indianapolis,Indiana,IN,Scientific Research,"By providing a platform for idea-sharing, Open Innovation Drug Discovery lowers the barrier for collaborations between investigators working inside and outside an organization. "
Liquid Robotics,http://liquidr.com,Sunnyvale,California,CA,Geospatial/Mapping,"Liquid Robotics is an ocean data services provider and developer of the Wave Glider, the world’s first wave powered, autonomous marine robot designed to help address challenges including global climate change, national security, hurricane and tsunami warning, and offshore energy and resource management."
Locavore ,http://www.getlocavore.com,Madison,Wisconsin,WI,Food & Agriculture,"Locavore enables users to find local, in-season food at nearby farmers' markets and farms."
Lockheed Martin,http://www.lockheedmartin.com,Fort Worth,Texas,TX,Data/Technology," Lockheed Martin is the largest provider of IT services, systems integration, and training to the U.S. Government."
LogixData,http://www.logixdata.com,Sacramento,California,CA,Governance,"LogixData’s has been an innovator in artificial intelligence engines that can digitally read, translate, and structure global regulatory data. "
LoopNet,http://www.loopnet.com,San Francisco,California,CA,Housing/Real Estate,"LoopNet enables users to search listings, research properties, and list availabilities for commercial real estate."
LoseIt.com,http://loseit.com,Boston,Massachusetts,MA,Lifestyle & Consumer,Lose It! uses proven principles of weight loss (tracking and peer support) to help people manage their weight and improve their health.
M.Arch Architects,http://marcharch.com,New York,New York,NY,Housing/Real Estate,M.Arch Architects is a firm of architects and designers that use technology to mobililize and communicate its clients' ideas.
Mango Transit,http://www.windowsphone.com/en-us/store/app/mango-transit/34083d75-dca6-4631-99be-4f9a3813dd73,Redmond,Washington,WA,Geospatial/Mapping,Mango Transit is an advanced public transit app for Windows Phone. 
MapQuest,http://www.mapquest.com,Denver,Colorado,CO,Geospatial/Mapping,"As a top 20 website, MapQuest helps more than 40MM people per month, providing tools for Internet and mobile users, developers, and businesses. "
MarinExplore,http://marinexplore.com,Sunnyvale,California,CA,Environment & Weather,"MarinExplore provides seamless solutions for managing ocean data, analytics and collaboration."
MarkLogic,http://www.marklogic.com,San Mateo,California,CA,Data/Technology,"MarkLogic offers a new generation database technology capable of handling any data, at any volume, in any structure. "
Marlin & Associates,http://www.marlinllc.com,New York,New York,NY,Finance & Investment,"Marlin & Associates is an independent boutique financial and strategic advisory firm and investment bank focused on advising owners and managers of U.S. and international companies that provide technology, digital information, and healthcare-related products and services. "
McGraw Hill Financial,http://www.mhfi.com,New York,New York,NY,Finance & Investment,"McGraw Hill Financial is a high-growth, high-margin benchmarks, content and analytics company serving the capital and commodity markets."
McKinsey,http://www.mckinsey.com,New York,New York,NY,Research & Consulting,"McKinsey & Company is a global management consulting firm that advises the world's leading businesses, governments, and institutions."
MedWatcher,https://medwatcher.org/login/,Boston,Massachusetts,MA,Healthcare,"MedWatcher tracks and reports side effects of drugs, vaccines and medical devices."
Mendeley,http://www.mendeley.com,New York,New York,NY,Scientific Research,Mendeley is a dynamic global research collaboration platform that is helping academics improve their workflow and accelerate the pace of scientific discovery.
Merrill Corp.,http://www.merrillcorp.com,St. Paul,Minnesota,MN,Data/Technology,Merrill DataSite provides a secure virtual workspace service that optimizes collaboration and information management across enterprises.
Merrill Lynch,http://www.ml.com/index.asp?id=7695_15125,New York,New York,NY,Finance & Investment,"Merrill Lynch is a provider of wealth management, securities trading and sales, corporate finance and investment banking services."
MetLife,https://www.metlife.com,New York,New York,NY,Insurance,"MetLife, Inc. is a provider of insurance, annuities and employee benefit programs, serving 90 million customers. "
mHealthCoach,http://mhealthcoach.com,Chicago,Illinois,IL,Healthcare,mHealthCoach strives to make a positive impact on the way that people think about chronic medical care.
Microsoft,http://www.microsoft.com/en-us/news/inside_ms.aspx#About,Redmond,Washington,WA,Data/Technology,"Microsoft describes itself as the worldwide leader in software, services, and solutions that help people and businesses realize their full potential."
Mint.com,https://www.mint.com,Mountain View,California,CA,Finance & Investment,Mint.com is a leading online personal finance tool..
Mobissimo,http://www.mobissimo.com/,San Francisco,California,CA,Transportation,Mobissimo describes itself as the ultimate travel search engine with a simple mission: improve the way people seek and discover travel information.
Monsanto,http://www.monsanto.com/Pages/default.aspx,St. Louis,Missouri,MO,Food & Agriculture,"Monsanto is a sustainable agriculture company, delivering agricultural products that support farmers around the world."
Moody's,https://www.moodys.com,New York,New York,NY,Finance & Investment,"Moody's Investors Service is a leading provider of credit ratings, research, and risk analysis. "
Morgan Stanley ,http://www.morganstanley.com,New York,New York,NY,Finance & Investment,"Since 1935, Morgan Stanley has served as a preeminent financial advisor to companies, governments and investors from around the world.  "
