company_name_id,company_name,url,city,state,zip_code,ceo_first_name,ceo_last_name,year_founded,full_time_employees,company_type,company_category,revenue_source,description,description_short,financial_info,source_count,data_comments,dataset_wishlist,confidentiality,ts,survey_submitted,vetted,locked,vettedByCompany,display,notes
Cleantech-Group,Cleantech Group,http://www.cleantech.com,New York,NY,10014,,,0,0,Private,Environment & Weather,,"Since 2002, the Cleantech Group has been providing Fortune 1000 global corporations, investors, entrepreneurs and policy-makers with the latest industry market intelligence through subscription-based research, global industry networking events, and world-class custom research services. By focusing entirely on the companies innovating in clean technology, Cleantech Group helps its clients make critical business decisions that foster growth, reduce cost, and meet consumer and government demands for improved environmental quality.","Cleantech Group provides market intelligence and insights on companies including energy efficiency, energy storage, smart grid, biofuels & biochemicals, solar, transportation, and water & wastewater.",,,,,,2013-12-15 15:28:22.525000,False,False,False,False,False,
Clearstory-Data,ClearStory Data,www.clearstorydata.com,Palo Alto,CA,94301,,,2011,20,Private,Data/Technology,not reported by company,"ClearStory Data is making it easy for business users to find, combine and interactively explore big, diverse data across first-party and third-party sources for immediate insights. The ClearStory Data team has decades of combined experience at Aster Data, Cloudera, Google, Teradata, Oracle, Netscape and Opsware. Based in Palo Alto, California, ClearStory Data is backed by Kleiner Perkins Caufield & Byers, Andreessen Horowitz, Google Ventures, Khosla Ventures and notable Silicon Valley industry leaders","ClearStory Data makes it easy for business users to find, combine and interactively explore data across first-party and third-party sources.",,NA,,,,2014-04-05 23:59:33.576866,False,False,False,True,True,
Climate-Corporation,Climate Corporation,http://www.climate.com,San Francisco,CA,94103,David,Friedberg,2007,0,Data management and analysis,Environment & Weather,Software Licensing,"The Climate Corporation aims to help farmers around the world protect and improve their farming operations with powerful software and insurance products. The company's proprietary Climate Technology Platform‚ combines hyper-local weather monitoring, agronomic data modeling, and high-resolution weather simulations to deliver Climate Basic and Climate Pro‚ mobile SaaS solutions that helps farmers improve profitability by making better informed operating and financing decisions, as well as Total Weather Insurance, an insurance offering that pays farmers automatically for bad weather that may impact their profits. The company is also an authorized provider of the U.S. Federal crop insurance program, enabling authorized independent crop insurance agents to provide farmers with a powerful full-stack risk management solution. In the face of increasingly volatile weather, the global $3 trillion agriculture industry depends on the company's unique technologies to help stabilize and improve profits and, ultimately, help feed the world.",The Climate Corporation aims to help farmers around the world protect and improve their farming operations with uniquely powerful software and insurance products.,"Venture funding 2007 - 2012 through three round totaling around $110M. Investors include Google Ventures, Khosla Ventures, Founders Fund, Index Ventures and NEA.",NA,,"Potential areas of improvement include: 
-Mixed results for FOIA requests with agencies (RMA)
-data.gov incomplete, inefficient, download only, no APIs
-Most data accessed through other websites 
-Formatting / documentation inconsistent
-Human querying sites problematic (NASS Quickstats) 
-Inconsistent reporting, file formats changing
-Difficult to check data from third party sources",,2013-12-15 15:27:40.524000,True,True,True,True,True,
Cloudmade,Cloudmade,http://cloudmade.com,Menlo Park,CA,94025,Juha,Christensen,0,0,Private,Geospatial/Mapping,Not reported by company,"CloudMade provides OEMs and application developers with a range of innovative tools and APIs that let them create unique location based devices and applications across all major web and mobile platforms.  These solutions are cloud connected which keeps the maps and data fresh, keeps the users data synchronized across screens and links the user to their personal social data.  OEMs and developers use CloudMade's tools to create applications that delight and amaze mobile and web consumers.","CloudMade's platform makes geospatial data from hundreds of different sources accessible for different devices and automotive manufacturers, developers and enterprises.",,100+,,,,2013-12-15 15:28:22.560000,False,False,False,False,True,
Cloudspyre,Cloudspyre,http://www.cloudspyre.com,Bristow,VA,20152,Stephen,Jernigan,2010,0,Private,Data/Technology,"Consulting, App Sales","Cloudspyre LLC is a boutique custom software development company, specializing in developing mobile, cloud, and web-based software solutions. We build iOS, Android, and BlackBerry Apps to help people learn about the world around them. Cloudspyre also partners with other companies to do the programming side of their creative projects. Cloudspyre has expertise developing websites on a large variety of application platforms. Our favorite is building Ruby on Rails websites with custom backends. All the websites for Cloudspyre's apps are built on Ruby on Rails.","Cloudspyre is a software development company and creator of Gender Gap, an award-winning app developed with Department of Labor data on gender inequality in compensation.",,NA,,,,2013-12-15 15:28:21.591000,True,True,False,False,True,
Cna-Insurance-Companies,CNA Insurance Companies,http://www.cna.com/portal/site/cna,Chicago,IL,60604,,,0,0,,Insurance,,,"CNA provides insurance solutions by industry, including the financial sector, education, real estate, and manufacturing.",,,,,,2013-12-15 15:28:22.606000,False,False,False,False,False,
Coddes,Coddes,http://www.coddes.com,Rockville,MD,20847,,,0,0,,Scientific Research,,,"CODDES designs new chemical and biological compounds and develop novel computational tools, focusing on turning lead molecules into drugs transferable to commercial manufacturing.",,,,,,2013-12-15 15:28:22.630000,False,False,False,False,False,
Code-For-America,Code for America,http://codeforamerica.org,San Francisco,CA,94103,Bob,Sofman,2009,60,Nonprofit,Data/Technology,Philanthropy,"Founded in 2009, Code for America (CfA) is a nonprofit that partners with local governments and citizens to foster civic innovation. By working to reinvigorate civic participation, accelerate the civic startup marketplace, facilitate collaboration between government leaders, and build new tools that enhance and strengthen communities, CfA is helping governments solve old problems in new ways. CfA is working towards a government by the people, for the people, that works in the 21st Century.","Code for America helps residents and governments harness technology to solve problems; a government truly by the people, for the people, in the 21st century.","You can find all of our donors, funder, sponsors, and financials here: http://2013.codeforamerica.org.",100+,,,,2013-12-15 15:28:22.654000,True,True,False,True,True,
Coden,Code-N,http://www.code-n.com,Menlo Park,CA,94025,Randy,Haldeman,0,0,,Data/Technology,,"Code-N is a cloud computing company that leverages an advanced semantic web technology to deliver software solutions to Big Data problems. Code-N is a software provider of concept-based business solutions that aims to make massive data interoperable, unambiguous, non-redundant, and accessible for extracting industry specific intelligence. 

Code-N is an Associated Partner of the Open PHACTS community and supports the Open Pharmacological Space, funded under the Innovative Medicines Initiative, a Public:Private Joint undertaking between EFPIA and the European Commission.",Code-N is a cloud computing company that leverages concept-based technology to deliver software solutions to the BioPharma industry.,"Code-N is an early stage, privately held, Silicon Valley based enterprise.",NA,,,,2013-12-15 15:28:22.678000,True,True,False,False,True,
College-Abacus,College Abacus,https://collegeabacus.com,St Petersburg,FL,33701,Abigail,Seldin,2012,1,Private,Education,"Philanthropy, Software Licensing","College Abacus is a free service that allows users to compare their projected financial aid packages across schools and to identify schools within their budgets. Using net price calculators (NPCs) built by US colleges as mandated by the Higher Education Opportunity Act of 2008, College Abacus has built a system that generates estimates for more than 3800 post-secondary institutions in the United States.","A free service, College Abacus enables users to compare their projected financial aid packages across schools and to identify schools within their budgets.","Our initial funds were provided through a combination of private investment and grant funds from the College Knowledge Challenge, an initiative funded by the Gates Foundation. 

Our first paid products will launch in April 2014.",1-10,The FSA web access to default data is not easy to navigate.,-graduation rates of Pell Grant recipients by university,,2013-12-15 15:28:22.702000,True,True,False,True,True,
College-Board,College Board,http://www.collegeboard.org,New York,NY,11023,David,Coleman,1900,1400,Nonprofit,Education,"Data Management and Analytic Services, educational assessment","The College Board is a mission-driven not-for-profit organization that connects students to college success and opportunity. Founded in 1900, the College Board was created to expand access to higher education. Today, the membership association is made up of more than 5,900 of the world’s leading educational institutions and is dedicated to promoting excellence and equity in education. Each year, the College Board helps students prepare for a successful transition to college through programs and services in college readiness and college success — including the SAT® and the Advanced Placement Program®. The organization also serves the education community through research and advocacy on behalf of students, educators and schools.",The College Board seeks to ensure that every student in the US has access to a high-quality education and is prepared to succeed in college.,,100+,,"State educational data currently protected under FERPA, which is frequently misinterpreted by state attorneys general.",,2013-12-15 15:28:22.726000,True,True,False,True,True,
Compendia-Bioscience-Life-Technologies,Compendia Bioscience Life Technologies,http://www.lifetechnologies.com/us/en/home/life-science/cancer-research/cancer-genomics/compendia-bioscience-life-technologies.html,Ann Arbor,MI,48104,,,2006,50,Public,Data/Technology,"Database Licensing, Software Licensing, Subscriptions","Compendia Bioscience aims to be the most relevant provider of high-value genomic data, helping our customers find cures for cancer using genomic data and suggesting available, high-potential therapies for individual patients based on their distinct genomic profiles.","Compendia Bioscience provides data, products, and solutions to support pharma, diagnostics, and personalized medicine business applications in oncology.",,1-10,,,,2013-12-15 15:28:22.749000,True,True,False,True,True,
Compliance-And-Risks,Compliance and Risks,http://www.complianceandrisks.com,Oregon House,CA,95962,,,2000,0,,Business & Legal Services,,"Compliance & Risks provides companies with web-based Compliance Knowledge Management (CKM) solutions to get their products to market fully compliant with all applicable global and/or local legislations. Our aim is to liberate business from the complex regulatory environment. 

We provide online tools that deliver the timely and accurate global regulatory intelligence. Our innovative product C2P is used by major Blue chip companies worldwide. C2P (Compliance-to-Product) is a web-based compliance knowledge management (CKM) system that integrates a daily-updated database of global regulations within compliance software and a knowledge management system. C2P replaces emails, spreadsheets, and paper trails with an online suite of communication and collaboration tools that are designed for managing compliance. It helps to organize each step of tracking global regulations, defining issues, assessing risks, assigning tasks, monitoring compliance, and producing reports all the way to full compliance.
C&R currently supports the electronics hardware/software and the healthcare industries with its C2P solution.",Compliance and Risks guides businesses through the ever-changing and complex maze of compliance ensuring that they know and comply with current regulations.,"C&R has its headquarters in Cork, Ireland and its software development team in the UK and northern California. The company's growing team of domain experts includes lawyers in Ireland, the United Kingdom, Europe, the United States, and Asia.",,,,,2013-12-15 15:28:22.772000,False,False,False,False,True,
Computer-Packages-Inc,Computer Packages Inc,http://www.computerpackages.com/,,MD,,,,1968,0,Private,Data/Technology,Not reported by company,Computer Packages Inc provides intellectual property management systems and patent annuity payment services. Our exclusive patent audit service improves your ability to manage acquisitions and/or divestitures efficiently.,"CPI  is a major, established provider of IP systems,",,NA,,,,2014-04-06 02:06:32.319397,False,False,False,True,True,
Connectedu,ConnectEDU,http://www.connectedu.com,Boston,MA,02210,,,0,0,Private,Education,,"Data is the fundamental element without which our innovative solutions would cease to function. Often a stumbling block for under-resourced institutions, ConnectEDU has developed an expertise in the management of data—including data acquisition, loading, standardization, normalization, storage, and security. To ensure a successful implementation of a product, suite of products or enterprise deployment, our data management solution is our core competency.",ConnectEDU’s technology solutions empower students by informing their academic and career decisions.,,NA,,,,2013-12-15 15:28:22.797000,False,False,False,False,True,
Connotate,Connotate,http://www.connotate.com,New Brunswick,NJ,08901,,,0,0,,Data/Technology,Not reported by company,"Connotate transforms web data and content into high-value information assets – to feed content products, grow market and business intelligence, enable mass data aggregation, migration and integration.

Connotate’s patented intelligent Agent technology empowers both business users and programmers to quickly create data sets, new applications and content products. With Connotate, customers experience productivity gains, reduced costs, mitigated risks, more informed decision-making and strategic and competitive advantages.","Connotate provides Web data extraction and monitoring to help businesses make smarter decisions, reduce costs and grow revenue.",,100+,,,,2013-12-15 15:28:22.821000,False,False,False,False,True,
Consilio,Consilio,http://www.consilio.com,Washington,DC,20036,,,0,0,,Research & Consulting,,,"Consilio combines  project management with industry-leading eDiscovery technology to solve problems on complex, global projects.",,,,,,2013-12-15 15:28:22.845000,False,False,False,False,False,
Construction-Monitor-Llc,Construction Monitor LLC,www.constructionmonitor.com,Cedar City,UT,84721,David,Mineer Sr.,1989,15,Private,Housing/Real Estate,"Database Licensing, Subscriptions","The Construction Monitor's vision is to compile and database every building permit (valuation over 10k) issued throughout the United States every week. Currently we have reached that goal in the Western United States and Texas. At the start of 2012 we launched a campaign to have the Eastern United States covered by the end of 2014. 

<p>Over the years we have developed a proprietary system to collect database building permits in ""real time"". The data is used by the construction industry for leads to find new work and the financial industry to forecast economic trends. There are many other industries (both public and private) that use building permit data in many different ways.</p>","Construction Monitor provides timely, detailed and accurate building permit information, using state of the art technologies to continuously improve its work processes.","The company is owned by Dave Mineer Sr and son David Mineer Jr. At this time we have 23 employees and about 100 independent contractors throughout the world. Our gross revenues grew to little over $2,000,000 in 2008 and stayed there during the recession for 4 years. This year with the construction industry rebounding our goal is to reach $3,000,000 by the end of the year. We are currently self funded.",NA,,,,2013-12-15 15:27:40.664000,True,True,True,True,True,
Consumer-Reports,Consumer Reports,www.consumerreports.org,Yonkers,NY,10703,James,Guest,1936,550,Nonprofit,Lifestyle & Consumer,"Philanthropy, Subscriptions","Consumer Reports was founded in 1936 when consumers lacked a reliable source of information they could depend on to help them distinguish good products from bad ones. Since then Consumer Reports has filled that vacuum with a broad range of consumer information. Consumer Reports has a wide circulation in print and on its website, ConsumerReports.org, which has the most subscribers of any website of its kind. All of Consumer Reports' work is informed by the more than 1 million readers who respond to our Annual Questionnaire, among the largest and most comprehensive consumer studies in the world. 

<p>In 2008, Consumer Reports also launched several initiatives, including the Consumer Reports Health Ratings Center, which serve to educate and empower consumers to make more informed healthcare decisions and to help change the market.</p>","Consumer Reports is an independent, nonprofit organization whose mission is to work for consumer empowerment and a fair, just, and safe marketplace for all consumers.",,,,,,2013-12-15 15:27:40.733000,True,True,True,True,True,
Coolclimate,CoolClimate,http://coolclimate.berkeley.edu,Berkeley,CA,94720,,,2007,10,Nonprofit,Environment & Weather,"Data Management and Analytic Services, User Fees for Web or Mobile Access","The CoolClimate Network (CCN) is a division of UC Berkeley's Renewable and Appropriate Energy Laboratory (RAEL). CCN carries out research on carbon footprint mitigation, develops carbon management tools for public, business and government users and implements best practice programs grounded in behavior research to engage business and individuals in voluntary carbon reductions. All calculations and data are fully transparent, published on our website and in peer-reviewed research.","CoolClimate provides a complete, highest-resolution, peer-reviewed model of carbon footprints associated with transportation, foods, goods and services for households, businesses, organizations and cities.",,1-10,,household energy consumption at high geospatial resolution,,2013-12-15 15:28:22.868000,True,True,True,True,True,
Copyright-Clearance-Center,Copyright Clearance Center,http://www.copyright.com,Danvers,MA,01923,,,1978,0,,Business & Legal Services,,"Copyright Clearance Center (CCC) is a global rights broker for the world’s most sought-after books, journals, blogs, movies and more.

Founded in 1978 as a not-for-profit organization, CCC provides smart solutions that simplify the access and licensing of content. These solutions let businesses and academic institutions quickly get permission to share copyright-protected materials, while compensating publishers and creators for the use of their works. CCC provides information solutions to companies of all sizes, as well as academic institutions, law firms, healthcare organizations and government agencies.","Copyright Clearance Center (CCC) is a global rights broker for  books, journals, blogs, movies and more.",,NA,,,,2013-12-15 15:28:22.892000,False,False,False,False,True,
Corelogic,CoreLogic,http://www.corelogic.com,Irvine,CA,92618,Anand,Nallathambi,2010,5000,Public,Data/Technology,"Data Management and Analytic Services, Database Licensing","CoreLogic is a leading global property information, analytics and data-enabled services provider. The company's combined data from public, contributory and proprietary sources includes over 3.3 billion records spanning more than 40 years, providing detailed coverage of property, mortgages and other encumbrances, consumer credit, tenancy, location, hazard risk and related performance information. The markets CoreLogic serves include real estate and mortgage finance, insurance, capital markets, and the public sector. CoreLogic delivers value to clients through unique data, analytics, workflow technology, advisory and managed services. Clients rely on CoreLogic to help identify and manage growth opportunities, improve performance and mitigate risk. Headquartered in Irvine, CA, CoreLogic operates in North America, Western Europe and Asia Pacific.","CoreLogic maintains one of the largest and most comprehensive real estate, mortgage-finance and property location databases in the country.","Revenue: $1,331 million
Operating Income: $172 million
Market Cap: $3.3 billion
Employees: 5,000+
Operations: 8 countries
Principal Markets: U.S. and Australia
Headquarters: Irvine, California",100+,"While the National Fire Incident Reporting public data set (NIFRS) is very useful for statistical analysis, it would be much more useful if the “cause category”  was pre-populated as part of the dataset rather than requiring the user to process 35 separate queries to calculate.",Income data from the IRS—de-identified for modeling purposes and identified and FCRA-compliant for credit granting and fraud determination.,,2013-12-15 15:28:22.915000,True,True,False,True,True,
Coreone,CoreOne,http://www.coreonetechnologies.com/coreone/web/me.get?web.home,New York,NY,10038,,,0,0,,Finance & Investment,,,"CoreOne is a global leading provider of financial data creation, management, distribution services and solutions",,,,,,2013-12-15 15:28:22.939000,False,False,False,False,False,
Corporation-For-Enterprise-Development,Corporation for Enterprise Development,http://cfed.org,Washington,DC,20005,,,0,0,Nonprofit,Governance,,"Since its founding more than three decades ago, CFED has consistently witnessed the power of even minimal savings to transform lives. Every day we see evidence that when given the opportunity, low- and moderate-income households will not only save, but will use those savings to invest in long-term assets that create pathways to financial security. The Savings & Financial Security Program at CFED focuses on social innovations that help low-income individuals and families protect and build assets. Our efforts include support for matched savings programs that encourage adults and children to save, such as Individual Development Accounts and Children’s Savings Accounts; programs to support low- and moderate-income entrepreneurs; efforts to help the unbanked and underbanked enter the financial mainstream; and initiatives aimed at improving the asset-building potential of manufactured homes.","CFED is a multi-faceted organization working at the local, state and federal levels to create economic opportunity that alleviates poverty.",,,,,,2013-12-15 15:28:23.020000,False,False,False,False,False,
Costquest,CostQuest,http://www.costquest.com,Cincinnati,OH,45206,,,0,0,,Business & Legal Services,Not reported by company,"CostQuest Associates information systems and services deliver comprehensive solutions to complicated business challenges. These solutions reflect the highly specific needs of businesses, including the impact of financial, economic, and regulatory environments. CostQuest has also provided proprietary profitability, cost, telecom engineering, and metrics systems along with demographic data, data analysis, and GIS support to enhance decision-making in some of the world’s leading companies.","CostQuest provides global knowledge of costs, business functions, network modeling, telecommunications, economics, regulation, and applying the right data to make accurate business decisions.",,NA,,,,2013-12-15 15:28:23.043000,False,False,False,False,True,
Credit-Karma,Credit Karma,https://www.creditkarma.com,San Francisco,CA,94104,,,0,0,Private,Finance & Investment,Not reported by company,"We help you manage your debt and finances by finding you the best savings options for your credit cards, mortgage, auto loans, and more!  Now you can quickly and easily track your credit score, credit attributes, and debt over time from a single source. Use our free interactive tools and simulators to help you learn how to anticipate changes in your credit score.  Use our credit report card to compare and learn more about your credit report and how financial institutions view you. Compare your credit report to others and see how the various items on your credit report affect your credit score.",Credit Karma gives consumers access to all of their financial information in one location for free.,,NA,,,,2013-12-15 15:28:23.066000,False,False,False,False,True,
Credit-Sesame,Credit Sesame,creditsesame.com,Mountain View,CA,94041,Adrian,Nazari,2010,30,Private,Finance & Investment,"Advertising, Lead Generation To Other Businesses","Credit Sesame was founded on a simple principle: Assets – Liabilities = Wealth, and the recognition that most people overlook a significant contributor to this equation - the mortgages, loans and credit cards we pay each month. We help people manage their credit and loans to building wealth. With our deep expertise in developing bank-level credit and loan analytics, and the belief that transparency and access to financial information are fundamental consumer rights, we established Credit Sesame in 2010.","Credit Sesame is a free tool that provides a free credit score, credit monitoring, and a way to save money on loans and credit.",,50-100,,,,2013-12-15 15:27:47.216000,True,True,True,True,True,
Dabo-Health,Dabo Health,https://www.dabohealth.com/#/,Menlo Park,CA,94025,Camilo,Barcenas,0,0,Private,Healthcare,Software Licensing,"Dabo Health is an information platform that brings clarity to quality metrics, makes them actionable to hospitals and care providers, and facilitates collaboration for quality improvement.

<p>Our mission is to apply the power of teamwork and data transparency to improve outcomes and meet the needs of patients efficiently. All members of the care team play a critical role in patient outcomes: by providing enterprise awareness around metrics, we break down hierarchies and give care providers an equal voice to create local, regional, and national performance improvement.</p>",Dabo is a healthcare company dedicated to saving lives through improving quality of care through metrics.,,NA,,,,2014-01-02 19:08:13.463000,True,True,False,True,True,
Datalogix,DataLogix,http://www.datalogix.com,Westminster,CO,80021,,,0,0,,Data/Technology,,"Datalogix provides marketing infrastructure by connecting digital advertising to offline sales. We help leading brands reach audiences of buyers across display, video, mobile and social. DLX ROI® is the industry standard for measuring the offline sales lift resulting from digital marketing campaigns. The Company’s expertise spans the major consumer segments, including Retail, CPG, Telecom, Travel, Financial Services and Automotive. Datalogix also offers predictive analytics for Direct Mail, and integrated media solutions via the DLX Net.  

We are based in Colorado, with offices in New York City, San Francisco, Boston, Chicago, Detroit, and London.",DataLogix manages data including almost every U.S. household and more than $1 trillion in consumer transactions.,,100+,,,,2013-12-15 15:28:23.135000,False,False,False,False,True,
Datamade,DataMade,http://datamade.us,Chicago,IL,60647,Derek,Eder,2012,2,Private,Governance,Philanthropy,"DataMade is a civic technology company. We work on projects that make open data, make open source software, and make people more powerful.","Datamade deploys civic apps, builds custom visualizations, and trains people to work with open data.","2012 revenue: $43,420.88 (July - Dec 2012)
2013 revenue $136,000
12 clients
3 employees (including owners)",,,,,2013-12-17 00:15:26.030000,True,True,True,True,True,
Datamarket,DataMarket,datamarket.com,Boston,MA,02110,Hjalmar,Gislason,2008,15,Private,Data/Technology,Software Licensing,"DataMarket helps people find and understand data. We bring complex and diverse data together in one place and one format so it can be searched, compared, visualized and shared across teams, organizations or on the web. DataMarket is licensed to enterprises and data publishers as a white-label SaaS solution and includes seamless access to our ever-expanding collection of facts and figures from leading global data providers. Our open data portal, datamarket.com, enables anyone to use our search and visualization technology to explore a vast amount of key public data from around the world, whenever they wish and free of charge.","DataMarket brings complex and diverse data together so you can search, compare, visualize and share it in one place and one format.","We are a private company founded in 2008 and as of mid-2013 had received about $1.8 million in founder, angel and seed investment. We have been roughly doubling annual turnover for several years running and in 2012 had sales of $1.3 million.",,,The US Census data would be a useful addition and we plan to add it.,,2013-12-15 15:27:47.353000,True,True,True,True,True,
Datamyne,Datamyne,http://www.datamyne.com,Miami,FL,33216,,,0,0,,Business & Legal Services,Not reported by company,"Datamyne provides a web-enabled suite of analytic tools for searching, saving, and downloading trade data records for their specific business needs.
Our search capabilities include everything from import and export ranking, product type and price, freight origin and destination, specific company trading activities, and more.

Our coverage encompasses key markets in Latin America, Asia, Africa, and the European Union, as well as US maritime commerce as documented in house and master bills of lading. Our integrated suite of online products offers multiple perspectives on international trade, including current rankings of trade flows, details of shipments, and 360-degree profiles of buyers, sellers and service providers.",Datamyne provides global import/export data to help take business across borders.,,NA,,,,2013-12-15 15:28:23.159000,False,False,False,False,True,
De-Silva--Phillips,De Silva & Phillips,http://www.desilvaphillips.com,New York,NY,10016,,,0,0,,Finance & Investment,,"AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants, to help increase production and profitability in the food, fiber and energy markets.","De Silva & Phillips develops a process that produces the best price, the right asset, the most competitive corporate finance solution.",,,,,,2013-12-15 15:28:23.183000,False,False,False,False,False,
Deloitte,Deloitte,http://www.deloitte.com/view/en_US/us/index.htm,New York,NY,10112,,,0,0,Private,Research & Consulting,Not reported by company,"Deloitte has in the region of 200,000 professionals at member firms delivering services in audit, tax, consulting, and financial advisory in more than 150 countries. Revenues for fiscal year 2013 were US$32.4 billion. Learn more about Deloitte in the 2013 Deloitte Touche Tohmatsu Limited Global Report.","Deloitte works in four areas — audit, financial advisory, tax and consulting — and combines the talents of those groups to address clients’ needs.",,100+,,,,2013-12-15 15:28:23.207000,False,False,False,False,True,
Demystdata,DemystData,http://demystdata.com,,NY,,,,2011,11,Private,Finance & Investment,Not reported by company,"DemystData helps leading financial institutions tap into online, social, traditional and internal ""Big Data"" to make better credit decisions. The company’s products enable real-time analysis of both consumer and small business profiles.","DemystData helps financial institutions tap into ""Big Data"" to make better credit decisions. The company’s products enable real-time analysis of consumer and small business profiles.",,NA,,,,2014-04-02 16:54:56.416636,False,False,False,True,True,
Department-Of-Better-Technology,Department of Better Technology,dobt.co,Atlanta,GA,30306,Clay,Johnson,2013,4,Private,Data/Technology,Software Licensing,"<p>The Department of Better Technology works with government organizations to build and maintain custom applications, or to support open source applications that already exist. Through working closely with organizations like Code for America, we're able to find, integrate, and support web and information technology projects well below standard market prices.</p>

<p>We can also act as technical advisors to your internal projects. We help local governments think through technical projects, provide technology advice on how to craft RFPs, and help get great local or national vendors to bid on them. By using us as an outside strategist, we're able to save you thousands of dollars. We help organizations ask for the right thing, plan small, agile procurements, and get the right people at the table for the job.</p>

<p>We don't just deal with ""citizen experience"" -- we think that employee experience matters too. You and the people you work with should be using software you love using. Software that is not only great to look at, but also gets you home on time. We hand-craft pixel-perfect software for the guts of government.</p>",We make great software for government.,Knight Foundation funded.,1-10,Work pretty well. I think the challenge here is that they are not really geared towards our use case. We're still exploring options here.,RFP data.,,2013-12-15 15:28:27.467000,True,True,False,True,True,
Development-Seed,Development Seed,developmentseed.org,Washington,DC,20001,Ian,Schuler,2004,5,Private,Governance,"Data Management and Analytic Services, Custom open source software development","Development Seed is a creative strategy and engineering team that helps empower citizens and organizations with tools and data to solve complex issues and make better decisions. We are an integrated team of strategists, designers, and developers that work to solve the challenging development and governance issues with real solutions.

<p>We are a small team that has implemented some of the largest open data projects in international development. We work together with our partners to solve complex communications challenges using data visualizations, interactive web content, and custom applications. Our work runs the spectrum of identifying key problems, strategizing opportunities, building solutions, and designing communications. At our core, we are engineers building incredibly fast and flexible open source tools that provide the foundation for our solutions. This approach allows us to tackle large scale projects in record time, whether that’s taking the World Bank from concept to site launch with data.worldbank.org, helping Internews and NAI expose patterns of violence against journalists on the ground in Afghanistan, or building open.undp.org, the United Nations Development Programme's flagship project portal.</p>","Development Seed helps governments, NGOs, and development agencies to solve complex issues with open data and open technologies.","Development Seed was founded in 2004 and has worked since then to help governments and development agencies to better utilize open source technology and open data. Development Seed has ranged from 3-40 people over that time. Development Seed has created or supported the development of technologies and services ranging from Drupal, OpenStreetMaps, Node.js, Jekyll and Prose, and Mapbox. Recently Mapbox received 10M in investment and spun out into a separate company.",NA,,,,2013-12-18 15:56:44.170000,True,True,False,True,True,
Dow-Jones--Co,Dow Jones & Co.,http://www.dowjones.com,New York,NY,10036,,,0,0,,Finance & Investment,Not reported by company,"Dow Jones & Company is a global provider of news and business information, delivering content to consumers and organizations via newspapers, Web sites, apps, video, newsletters, magazines, proprietary databases, conferences, and radio.

Dow Jones' brands include The Wall Street Journal, Barron’s, MarketWatch, Factiva, Dow Jones Risk & Compliance, Dow Jones VentureSource, and DJX. Its information services publish in 13 languages and distribute content in 28 languages, combining technology with news and data to support business decision making.",Dow Jones & Company explains the world and the world of business with authoritative journalism and smart technology.,,NA,,,,2013-12-15 15:28:23.279000,False,False,False,False,True,
Dun--Bradstreet,Dun & Bradstreet,http://www.dnb.com,Short Hills,NJ,07078,,,0,0,Public,Finance & Investment,Not reported by company,"Dun & Bradstreet has the mission to be the most trusted source of commercial insight so that customers can decide with confidence. 

D&Bs global commercial database contains more than 140 million business records. The database is enhanced by D&Bs proprietary DUNSRight® Quality Process, which provides customers with quality business information. D&B provides two solution sets that meet a diverse set of customer needs globally. Customers use D&B Risk Management Solutions™ to mitigate credit and supplier risk, increase cash flow and drive increased profitability; and D&B Sales & Marketing Solutions™ to provide data management capabilities that provide effective and cost efficient marketing solutions and to convert prospects into clients by enabling business professionals to research companies, executives and industries.","D&B is a source of commercial information and insight on businesses, with a global commercial database that contains more than 225 million business records.",,NA,,,,2013-12-15 15:28:23.303000,False,False,False,False,True,
Earthobserver-App,EarthObserver App,http://www.earth-observer.org/,,NY,,,,0,0,Nonprofit,Geospatial/Mapping,User Fees for Web or Mobile Access,"EarthObserver is a mobile application created at the Lamont-Doherty Earth Observatory of Columbia University in the City of New York specifically for the iPhone®, iPod touch® and iPadTM. 

<p>With EarthObserver we invite you to visit and learn about our planet’s terrestrial landscapes, oceans and seas, frozen ice caps, atmosphere and clouds, geologic terrains, topography, nautical charts, natural hazards, human impacts, and many other earth and environmental science topics as you travel and explore with your finger .</p>",EarthObserver is a mobile application that allows you to explore many other earth and environmental science topics as you travel and explore with your finger.,,NA,,,,2014-04-04 22:34:36.161299,False,False,False,True,True,
Earthquake-Alert,Earthquake Alert!,https://play.google.com/store/apps/details?id=com.joshclemm.android.quake&hl=en,Reston,VA,20192,,,0,0,Public (Federal-USGS),Geospatial/Mapping,Not reported by company,"This web site is provided by the United States Geological Survey’s (USGS) Earthquake Hazards Program as part of our effort to reduce earthquake hazard in the United States. We are part of the USGS Hazards Mission Area and are the USGS component of the congressionally established, multi-agency National Earthquake Hazards Reduction Program (NEHRP). The USGS participates in the NEHRP with the Federal Emergency Management Agency (FEMA), the National Institute of Standards and Technology (NIST), and the National Science Foundation (NSF). In the 2004 reauthorization of NEHRP by Congress, NIST has been given the lead role to plan and coordinate this national effort to mitigate earthquake losses by developing and applying earth science data and assessments essential for land-use planning, engineering design, and emergency preparedness decisions.",Earthquake Alert! shows earthquakes Magnitude 3.0 and higher from all over the U.S.,,NA,,,,2013-12-15 15:28:23.326000,False,False,False,False,True,
